"Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31" "Day32" "Day33" "Day34" "Day35" "Day36" "Day37" "Day38" "Day39" "Day40" "Day41" "Day42" "Day43" "Day44" "Day45" "Day46" "Day47" "Day48" "Day49" "Day50" "Day51" "Day52" "Day53" "Day54" "Day55" "Day56" "Day57" "Day58" "Day59" "Day60" "Day61" "Day62" "Day63" "Day64" "Day65" "Day66" "Day67" "Day68" "Day69" "Day70" "Day71" "Day72" "Day73" "Day74" "Day75" "Day76" "Day77" "Day78" "Day79" "Day80" "Day81" "Day82" "Day83" "Day84" "Day85" "Day86" "Day87" "Day88" "Day89" "Day90" "Day91" "Day92" "Day93" "Day94" "Day95" "Day96" "Day97" "Day98" "Day99" "Day100"
"Fish11" 3 3 2 3 3 1 3 3 1 1 1 3 3 3 1 2 3 3 3 3 3 1 2 2 3 2 2 3 1 3 1 3 3 3 1 1 1 1 1 1 1 3 1 3 2 1 1 1 1 3 1 1 3 3 3 1 1 1 3 3 3 1 3 3 3 1 2 2 1 1 1 1 2 1 1 1 1 3 3 1 1 1 3 3 1 1 1 3 3 1 1 1 1 1 3 3 3 3 3 3
"Fish12" 3 3 2 3 2 2 2 3 1 1 1 1 1 1 1 1 3 3 1 1 3 1 1 1 1 1 1 3 1 3 2 1 3 3 3 1 3 1 3 1 2 3 1 1 3 1 2 1 3 1 1 1 1 1 1 1 3 1 3 1 1 3 2 1 1 3 3 3 3 1 1 1 1 1 1 3 3 2 1 3 1 3 3 1 1 3 3 3 3 3 1 3 3 1 3 3 1 1 3 1
"Fish13" 3 3 2 1 1 3 3 2 2 2 3 3 3 2 3 3 3 1 3 1 1 1 1 1 2 1 1 1 3 1 3 1 1 1 3 3 3 1 1 3 1 3 1 3 1 3 2 1 1 3 1 3 1 1 1 1 1 2 1 1 1 1 1 3 1 2 2 3 1 3 1 1 1 1 3 3 1 1 2 1 1 1 3 1 1 2 1 1 1 3 1 1 3 1 1 1 2 1 2 1
"Fish14" 1 2 3 1 2 1 1 2 1 1 1 1 3 3 3 1 3 1 1 3 1 3 3 3 1 2 1 1 3 1 1 1 2 1 3 3 1 3 1 3 3 2 1 1 1 1 1 3 1 3 1 1 3 1 1 3 1 1 1 1 1 3 3 3 3 3 2 2 2 2 1 3 3 2 3 1 1 1 1 1 2 1 3 3 1 1 3 1 3 1 2 1 3 3 1 3 1 3 3 3
"Fish15" 2 3 3 2 2 2 2 2 2 2 2 2 3 3 3 3 2 3 1 2 3 1 2 1 1 3 3 3 1 1 1 1 1 3 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 2 1 1 1 3 3 2 2 1 1 1 1 1 3 1 1 1 3 2 1 1 1 1 3 1 3 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 3 1 1 1 1 2 3 3 3
"Fish16" 2 3 1 2 2 3 1 1 2 2 2 2 2 3 1 2 2 2 1 3 1 1 2 3 3 1 1 2 3 3 3 1 1 3 1 1 2 3 3 1 1 1 2 3 1 3 3 1 1 1 1 1 2 2 2 3 1 1 3 1 1 1 2 2 1 2 1 3 3 2 2 2 3 2 1 1 1 1 3 1 2 1 1 3 2 3 2 3 1 1 1 3 2 3 2 2 2 2 3 3
"Fish17" 2 3 2 2 3 2 2 1 1 1 2 3 3 1 2 1 1 3 3 3 3 1 1 3 1 1 1 1 1 3 3 1 1 3 1 2 2 3 1 3 2 1 3 3 1 3 2 2 1 3 3 1 3 2 2 1 3 3 3 3 1 2 1 3 2 1 1 3 2 2 2 2 3 2 1 3 2 2 2 3 2 2 2 3 1 1 1 3 3 1 2 2 2 2 2 2 2 2 2 1
"Fish18" 2 3 2 1 3 1 3 1 1 2 1 1 2 3 2 3 1 3 1 3 1 3 3 1 1 2 2 3 1 1 2 1 1 3 3 2 1 3 1 2 3 1 2 3 2 1 1 1 3 2 3 3 3 1 3 2 3 3 3 1 2 3 3 3 2 3 2 2 1 2 1 3 3 3 3 1 3 1 2 1 1 3 2 2 3 2 2 2 2 2 2 3 3 1 1 1 3 1 3 3
"Fish19" 2 3 3 3 2 3 3 2 3 3 3 3 1 1 3 1 2 1 1 1 3 3 1 3 3 1 3 3 1 3 3 1 3 1 3 3 3 1 1 1 2 2 3 2 2 3 3 1 1 3 3 1 3 3 3 2 2 2 2 2 2 1 1 2 1 1 3 2 3 3 1 3 1 3 2 1 2 2 2 2 2 2 3 3 1 3 2 1 3 3 3 1 3 2 1 2 1 2 2 1
"Fish20" 2 3 3 2 1 1 3 3 1 3 1 3 3 3 1 1 3 1 1 1 1 3 3 1 1 3 1 1 1 2 2 1 2 1 2 2 2 3 3 1 2 2 2 1 3 3 1 1 1 3 3 1 1 2 2 2 1 1 3 3 3 3 1 3 1 1 2 3 1 1 3 3 2 1 3 1 1 1 1 1 1 1 1 1 2 2 3 3 3 3 1 3 1 3 3 2 1 1 3 1
"Fish21" 1 1 1 3 3 3 3 2 2 2 2 2 2 2 2 1 2 2 2 1 2 3 2 2 2 1 2 1 1 1 1 3 1 3 3 1 1 1 1 1 1 1 3 1 3 1 3 1 1 1 3 1 1 1 3 3 1 3 1 2 3 3 2 1 1 3 1 1 3 1 1 3 1 1 3 1 1 2 3 3 1 1 3 1 1 3 1 2 3 2 2 2 2 2 2 3 1 2 3 2
"Fish22" 2 3 3 3 1 1 3 3 2 2 2 2 2 2 2 2 2 2 3 1 1 1 3 2 3 1 2 1 3 2 2 3 3 3 3 1 3 2 3 3 3 3 2 2 1 1 2 2 1 1 2 1 3 1 2 2 1 1 3 1 1 2 2 1 3 1 1 1 1 2 1 3 2 3 1 1 1 3 1 2 3 2 2 2 3 1 3 2 1 3 1 3 3 1 1 2 2 1 3 3
"Fish23" 3 3 3 3 3 1 3 2 3 1 1 1 3 1 2 1 3 1 1 3 1 3 1 2 3 1 1 3 1 2 1 3 3 1 1 1 1 3 2 2 2 3 2 2 2 1 2 1 3 3 3 2 1 1 3 1 1 1 1 2 1 1 1 3 2 1 3 3 2 3 2 3 1 3 1 3 2 3 2 3 1 3 1 3 1 3 1 1 1 3 1 1 2 3 3 2 3 3 2 3
"Fish24" 3 2 3 1 2 2 2 2 2 2 2 2 2 2 2 2 3 3 1 3 1 1 1 3 1 1 3 1 3 1 3 2 3 3 2 1 2 1 1 1 3 1 1 1 3 3 1 3 3 2 3 1 3 1 1 1 1 1 1 3 1 1 3 3 2 2 1 1 1 1 1 1 3 1 3 2 3 3 3 3 3 3 1 1 1 1 1 3 1 1 1 1 1 3 3 1 1 3 1 1
"Fish25" 3 2 2 3 2 3 3 2 1 2 2 2 2 2 2 2 2 2 2 2 3 1 1 1 1 1 1 2 3 3 1 1 3 3 1 1 3 1 3 1 3 1 3 1 3 3 1 3 1 3 1 1 1 3 1 1 1 2 2 2 2 1 3 2 3 2 3 1 2 3 3 2 1 2 1 2 2 1 3 2 3 3 2 3 1 2 3 1 1 2 3 1 2 1 2 3 3 3 3 2
"Fish26" 2 2 2 1 2 1 1 1 3 1 3 3 1 1 1 3 3 3 3 1 3 1 3 3 3 3 2 2 2 3 3 1 1 2 3 2 2 2 2 2 2 2 2 3 3 3 3 1 1 1 1 1 3 3 2 2 3 3 2 3 3 1 3 3 1 3 1 1 3 3 3 3 3 3 1 3 1 1 3 3 1 3 3 1 1 1 1 1 2 3 2 2 3 3 1 3 2 3 2 1
"Fish27" 1 2 3 2 1 3 1 1 3 1 2 3 3 3 3 3 3 3 1 3 3 1 3 1 3 3 1 1 3 1 1 3 1 1 3 1 3 3 1 1 3 2 3 3 1 2 3 3 2 3 2 2 3 1 3 1 3 1 1 1 1 2 1 1 1 2 3 3 3 3 1 1 3 1 3 1 3 1 3 2 1 1 1 1 3 3 2 1 1 2 3 1 1 1 3 3 1 1 1 1
"Fish28" 2 3 1 2 2 2 3 3 3 1 2 1 1 1 1 1 1 2 1 1 2 1 2 3 3 2 3 1 3 3 3 1 3 2 1 1 1 1 3 1 3 2 1 3 3 2 3 2 3 1 3 3 3 1 3 1 2 1 1 2 3 3 1 3 3 3 1 1 3 1 1 3 3 3 3 3 3 1 2 3 2 3 2 1 1 3 1 2 3 3 1 2 1 2 1 3 2 3 2 1
"Fish29" 1 1 1 2 3 3 1 1 1 1 1 3 3 1 1 3 2 1 2 3 2 1 1 2 2 1 1 1 3 3 2 3 1 3 1 3 3 1 2 3 3 1 3 2 3 1 1 3 3 2 3 1 1 1 1 3 1 1 3 1 3 1 1 3 1 3 3 1 1 2 1 3 1 1 3 2 3 2 1 1 1 3 1 1 1 3 1 3 1 3 3 1 3 1 3 2 1 1 1 1
"Fish30" 1 3 2 2 1 3 3 2 3 2 1 3 1 3 3 3 3 3 3 1 1 2 1 1 2 1 3 1 1 1 2 1 3 3 1 1 2 3 2 2 1 2 1 2 3 2 1 1 1 3 3 1 2 2 1 3 2 3 1 1 2 1 1 1 3 3 2 2 3 3 1 2 2 1 1 1 3 1 1 1 2 3 3 1 3 1 1 1 3 3 3 3 3 3 3 2 1 1 3 1
"Fish31" 3 3 3 3 2 3 3 3 2 2 2 2 1 1 3 3 1 2 3 2 1 1 1 1 1 2 3 1 3 1 1 3 3 1 2 1 3 1 3 1 2 1 1 1 3 3 1 1 3 3 1 2 3 1 1 1 1 3 2 1 1 3 1 1 1 3 1 3 3 1 3 3 3 1 3 3 1 3 1 2 1 1 1 1 1 3 3 3 1 1 1 1 3 3 3 1 3 1 3 1
"Fish32" 1 2 3 3 2 1 1 3 3 2 3 2 3 2 1 2 1 3 2 3 1 1 2 3 1 2 1 1 1 1 2 3 2 2 3 1 2 3 1 2 1 1 2 3 1 1 1 2 2 3 2 2 2 1 3 3 3 3 3 2 3 2 1 2 1 1 1 2 3 1 3 3 1 3 1 2 3 2 3 3 3 2 1 2 1 1 1 1 1 1 1 2 2 2 1 2 1 3 3 3
"Fish33" 2 1 1 3 3 2 2 2 2 2 2 3 1 1 1 1 1 3 1 2 1 3 1 3 1 3 3 1 3 3 3 1 3 3 2 2 2 2 3 2 2 2 3 1 3 2 1 1 2 1 2 2 2 1 3 3 1 1 1 3 1 1 3 1 3 3 3 1 2 1 1 3 1 3 2 2 2 2 2 2 2 3 3 1 1 2 3 1 3 1 1 3 3 2 1 3 2 1 2 2
"Fish34" 3 3 2 3 3 1 1 1 1 3 3 1 3 1 3 1 2 3 2 2 1 1 3 3 2 2 2 2 2 1 2 2 2 2 2 2 3 2 2 2 2 3 1 3 1 3 3 1 1 1 3 1 1 2 3 1 3 1 1 3 1 1 1 3 3 1 1 1 3 1 2 2 3 1 1 1 3 3 3 1 1 1 3 1 1 3 3 1 2 1 1 2 1 3 1 3 1 1 1 1
"Fish35" 1 2 2 2 2 2 1 3 1 1 1 1 1 3 3 1 3 1 1 1 1 1 1 1 3 3 3 3 3 3 2 3 1 1 3 1 1 1 3 1 3 1 3 1 2 3 3 1 1 1 3 1 1 1 3 1 1 1 2 1 2 2 3 1 2 2 1 1 3 1 1 1 2 1 1 1 1 1 1 1 1 1 1 3 3 1 3 3 1 1 3 1 3 3 2 1 2 2 2 2
"Fish36" 3 3 3 2 2 2 2 2 1 1 1 1 3 3 1 1 1 3 1 3 1 1 1 2 1 1 1 3 1 1 1 3 3 1 1 1 1 2 1 1 2 3 3 3 1 1 1 3 3 1 1 1 3 2 2 3 3 3 1 3 3 1 1 1 1 1 1 3 3 1 3 1 1 3 1 3 3 1 3 1 1 1 3 1 3 1 1 1 3 3 3 1 3 1 1 1 1 1 3 1
"Fish37" 2 3 3 3 2 2 3 3 3 2 2 2 2 2 2 2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 1 3 1 2 3 1 3 3 3 1 1 1 3 1 1 1 3 1 1 1 3 1 3 3 1 3 1 1 2 3 3 2 2 1 3 3 1 1 1 1 3 1 3 1 1 1 2 2 3 3 1 2 3 2 3 3 2 2 1 1 1 3 3 1 1 1
"Fish38" 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 1 3 2 1 2 2 1 2 2 2 1 1 2 3 1 3 1 3 1 1 3 3 1 1 1 1 1 1 3 1 1 3 3 1 3 1 3 1 1 2 3 3 1 3 3 1 3 1 3 1 3 2 3 1 1 3 1 1 1 2 1 2 3 2 1 3 1 1
"Fish39" 2 2 3 1 3 1 1 3 3 2 2 2 2 2 2 2 2 2 3 3 1 2 2 3 3 1 1 3 3 1 1 3 3 2 1 2 3 3 2 2 2 2 3 3 3 1 1 2 1 2 3 1 3 1 3 3 3 3 3 1 3 2 2 1 2 3 1 3 1 2 1 2 1 1 1 3 1 3 1 3 1 1 1 3 1 1 1 2 2 3 3 3 1 2 2 2 3 1 1 3
"Fish40" 3 3 2 3 2 3 3 1 3 1 3 3 1 1 1 3 3 3 1 3 3 1 1 1 3 3 1 3 3 1 2 3 3 3 1 2 1 3 3 1 3 2 1 3 3 3 1 1 1 2 3 3 2 1 2 2 1 1 1 3 1 2 2 1 2 1 2 2 2 1 2 2 1 1 3 1 2 1 1 2 3 1 1 3 1 3 3 3 3 3 1 3 1 2 3 2 1 2 1 1
"Fish41" 2 3 3 2 3 1 2 2 2 2 2 2 2 1 3 1 3 1 1 2 2 1 3 2 1 1 1 3 2 1 1 1 2 1 1 3 2 1 1 1 2 2 2 2 1 2 3 3 2 2 1 3 2 1 2 1 3 3 3 1 1 1 1 3 3 1 2 3 3 2 1 1 3 2 3 2 2 1 3 3 2 3 3 1 3 1 2 1 3 1 3 3 1 3 2 3 2 2 3 3
"Fish42" 3 3 3 2 3 1 1 2 3 1 2 3 3 2 2 3 1 3 1 3 3 2 3 3 3 3 3 3 3 1 1 3 1 3 1 3 3 3 3 1 3 3 2 2 2 2 3 3 2 1 2 1 3 3 1 1 1 1 3 2 1 1 3 2 3 3 2 1 2 2 1 2 2 1 2 2 1 1 1 3 2 3 1 3 2 3 1 1 3 1 2 2 2 3 1 1 2 2 2 1
"Fish43" 1 3 2 3 3 1 2 2 2 2 1 2 1 2 1 2 2 2 2 2 2 3 3 3 2 2 3 1 1 1 3 1 1 3 3 3 1 3 1 1 1 2 1 1 1 3 3 1 3 1 1 3 3 3 1 1 1 3 1 3 3 1 1 3 3 3 1 1 1 1 1 1 1 1 2 1 3 3 1 3 3 3 1 1 1 3 1 1 1 2 3 3 2 1 2 3 3 2 3 1
"Fish44" 3 1 1 1 1 3 1 1 1 3 1 1 1 1 1 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1 2 2 2 2 2 2 2 1 2 2 1 2 2 3 2 2 2 2 3 2 1 3 2 3 3 3 3 3 2 1 1 1 2 2 1 1 3 1 1 2 1 1 1 3 3 2 1 3 3 2 2 2 2 3 2 2 2 2 2 2 1 3 2 2
"Fish45" 3 2 1 1 3 3 2 2 2 1 2 2 2 2 2 2 2 2 2 2 3 3 3 3 1 1 1 3 3 1 1 2 3 1 2 1 1 1 1 2 1 3 1 3 3 3 1 1 3 2 1 1 1 3 3 1 3 2 1 3 1 3 2 1 1 1 1 3 3 3 3 1 3 1 1 1 3 1 1 2 2 3 1 3 3 1 1 3 1 1 3 3 3 3 3 3 3 1 3 3
"Fish46" 2 3 3 2 1 3 3 1 1 3 2 3 1 3 1 3 3 1 1 1 1 1 1 3 3 3 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 3 1 3 1 1 1 3 1 3 2 1 1 3 1 1 3 3 1 3 3 1 1 3 1 1 1 1 1 1 2 2 3 3 1 1 3 1 1 2 3 3 1 1 1 1 1 3 3 1 1 3 3 1 2 2 2 1 3
"Fish47" 2 2 2 3 1 1 1 1 3 1 1 3 2 2 3 2 3 1 1 1 1 1 2 2 1 1 1 3 3 3 3 1 3 1 1 3 3 3 3 2 1 1 3 2 2 3 3 1 2 1 3 1 3 1 1 3 3 1 2 3 3 1 2 3 2 2 2 1 1 3 2 3 2 3 2 2 1 1 1 3 1 3 2 1 1 3 1 2 3 3 1 1 2 1 3 1 3 1 3 1
"Fish48" 3 3 1 3 2 2 3 3 1 1 1 3 1 3 1 3 3 1 2 2 3 3 3 3 2 3 2 2 2 3 1 1 3 1 2 2 2 1 3 3 2 2 2 2 2 2 1 3 2 1 1 3 1 1 1 1 1 1 1 1 1 3 1 3 1 3 1 1 1 1 1 1 3 1 1 3 1 3 3 1 1 3 2 2 3 1 1 3 1 3 2 1 1 1 1 2 1 1 1 3
"Fish49" 1 3 2 1 2 2 2 3 3 3 3 1 3 3 3 1 1 3 3 3 3 3 1 1 1 3 2 1 3 3 2 1 2 3 2 2 1 1 1 2 1 1 1 1 1 3 3 2 2 2 3 3 3 1 3 1 1 1 3 1 1 2 3 2 3 1 2 2 3 3 3 2 2 2 3 3 1 1 1 3 1 2 1 3 2 3 3 2 3 3 1 1 3 2 2 3 3 3 1 2
"Fish50" 1 3 2 1 3 1 3 3 3 1 3 2 2 2 2 2 2 2 1 3 2 2 2 2 2 2 1 3 2 2 2 2 1 2 2 2 2 2 2 2 1 2 2 2 2 2 3 2 2 2 2 1 2 2 2 2 1 1 2 2 2 1 2 3 3 1 2 2 2 1 3 1 2 2 2 1 3 3 1 1 3 1 2 2 2 2 2 2 2 2 2 2 2 1 1 3 2 3 2 2
